Sl No,AC No,AC Name,Zone,PC,District,Org District,Dominant Caste 1,Dominant Caste 2,Dominant Caste 3,Dominant Caste 4,Dominant Caste 5,Winner - Name,Winner - Party,Winner - Category,Winner - Caste,Runner Up - Name,Runner Up - Party,Runner Up - Category,Runner Party - Caste,2024 GE Booth Gradation
59,59,Maski (ST),Kalyan,Koppal,Raichur,Raichur,"SC - 22.27%
_______________

SC (Left) - 10.69%
SC (Lambani) - 5.57%
SC (Bhovi) - 3.11%
SC (Right) - 2.9%",ST Nayaka - 21.07%,"Lingayat - 16.53%
_______________

Lingayat Veerashaiva - 6.83%
Lingayat Reddy Lingayat - 3.11%
Lingayat Beda Jangama - 2.87%
Lingayat Panchamasali - 1.69%
Lingayat Banajiga - 1.39%
Lingayat Ganiga - 0.64%",Kuruba/ Halumatha - 15.95%,Muslim - 7.18%,Basan Gouda Turvihal,INC,ST,Nayaka,Shri Pratapgouda Patil,BJP,ST,Nayaka,"Total no of Booths - 231
______________
Grade A - 94
Grade B - 13
Grade C - 7
Grade D - 117"
60,60,Kushtagi,Kalyan,Koppal,Koppal,Koppal,Kuruba/ Halumatha - 25.49%,"Lingayat - 19.52%
_______________

Lingayat Panchamasali - 7.93%
Lingayat Ganiga - 3.64%
Lingayat Banajiga - 2.98%
Lingayat Veerashaiva - 2.23%
Lingayat Jangama - 2.07%
Lingayat Handevazir - 0.67%",ST Nayaka - 14.7%,"SC - 14.07%
_______________

SC (Left) - 7.07%
SC (Lambani) - 3.35%
SC (Bhovi) - 2.13%
SC (Others) - 0.94%
SC (Right) - 0.58%",Muslim - 8.54%,Shri Doddanagouda Hanamagouda Patil,BJP,OBC,Kuruba / Halumata,Amaregouda Linganagouda Patil Bayyapur,INC,GEN,Lingayat - Reddy,"Total no of Booths - 268
______________
Grade A - 124
Grade B - 27
Grade C - 8
Grade D - 109"
61,61,Kanakagiri (SC),Kalyan,Koppal,Koppal,Koppal,"SC - 18.59%
_______________

SC (Left) - 9.87%
SC (Lambani) - 3.83%
SC (Right) - 2.26%
SC (Bhovi) - 1.63%
SC (Others) - 1%",ST Nayaka - 18.2%,"Lingayat - 14.85%
_______________

Lingayat Panchamasali - 6.05%
Lingayat Veerashaiva - 2.72%
Lingayat Jangama - 1.87%
Lingayat Ganiga - 1.81%
Lingayat Banajiga - 1.24%
Lingayat Reddy Lingayat - 1.16%",Kuruba/ Halumatha - 14.39%,Muslim - 9.95%,Tangadagi Shivaraj Sangappa,INC,SC,Bhovi,Shri Basavaraj Dadesugur,BJP,SC,SC - Left,"Total no of Booths - 266
______________
Grade A - 106
Grade B - 29
Grade C - 14
Grade D - 117"
62,62,Gangawati,Kalyan,Koppal,Koppal,Koppal,Muslim - 20.71%,"SC - 18.31%
_______________

SC (Left) - 7.95%
SC (Lambani) - 4.52%
SC (Bhovi) - 3.37%
SC (Right) - 1.85%
SC (Others) - 0.62%",Kuruba/ Halumatha - 17.14%,"Lingayat - 12.78%
_______________

Lingayat Panchamasali - 3.91%
Lingayat Ganiga - 3.51%
Lingayat Jangama - 1.91%
Lingayat Veerashaiva - 2.42%
Lingayat Banajiga - 1.03%",ST Nayaka - 12%,G Janardhan Reddy,KRPP,OBC,Reddy,Iqbal Ansari,INC,GEN,Muslim,"Total no of Booths - 235
______________
Grade A - 89
Grade B - 6
Grade C - 8
Grade D - 132"
63,63,Yelburga,Kalyan,Koppal,Koppal,Koppal,"Lingayat - 31.4%
_______________

Lingayat Ganiga - 11.43%
Lingayat Panchamasali - 10.27%
Lingayat Jangama - 4.35%
Lingayat Veerashaiva - 2.43%
Lingayat Banajiga - 1.82%
Lingayat Kudu Vokkaliga - 0.66%
Lingayat Adi Banajiga - 0.44%",Kuruba/ Halumatha - 18.5%,"SC - 18.09%
_______________

SC (Left) - 9.36%
SC (Lambani) - 3.9%
SC (Right) - 1.38%
SC (Bhovi) - 1.16%
SC (Others) - 2.29%",ST Nayaka - 12.19%,Muslim - 6.83%,Basavaraj Rayareddi,INC,GEN,Lingayat - Reddy,Shri Achar Halappa Basappa,BJP,GEN,Lingayat - Reddy,"Total no of Booths - 256
______________
Grade A - 108
Grade B - 20
Grade C - 10
Grade D - 118"
64,64,Koppal,Kalyan,Koppal,Koppal,Koppal,"SC - 19.45%
_______________

SC (Left) - 11.7%
SC (Lambani) - 2.82%
SC (Bhovi) - 1.86%
SC (Others) - 2.42%
SC (Right) - 0.65%",Kuruba/ Halumatha - 18.26%,Muslim - 16.78%,"Lingayat - 15.29%
_______________

Lingayat Panchamasali - 5.12%
Lingayat Ganiga - 3.62%
Lingayat Jangama - 3.1%
Lingayat Veerashaiva - 2.14%
Lingayat Banajiga - 1.31%",ST Nayaka - 8.83%,K Raghavendra Basavaraj Hitnal,INC,OBC,Kuruba / Halumata,Shri Karadi Manjula,BJP,GEN,Lingayat - Panchamasali,"Total no of Booths - 292
______________
Grade A - 120
Grade B - 12
Grade C - 13
Grade D - 147"
65,65,Shirahatti (SC),Kittur,Haveri,Gadag,Gadag,"Lingayat - 27.82%
_______________

Lingayat Panchamasali - 7.85%
Lingayat Ganiga - 3.8%
Lingayat Beda Jangama - 3.51%
Lingayat Reddy Lingayat - 3.24%
Lingayat Lingavantha - 2.87%
Lingayat Banajiga - 2.1%
Lingayat Kudu Vokkaliga - 1.15%
Lingayat Adi Banajiga - 1.02%
Lingayat Veerashaiva - 1.61%
Lingayat Sadaru - 0.67%","SC - 20.44%
_______________

SC (Lambani) - 9.86%
SC (Left) - 6.69%
SC (Bhovi) - 2.59%
SC (Right) - 1.3%",Kuruba/ Halumatha - 18.86%,Muslim - 12.76%,ST Nayaka - 7.84%,Dr Chandru Lamani,BJP,SC,Lambani,Ramakrishna Shidlingappa Doddamani,IND,GEN,SC - Right,"Total no of Booths - 250
______________
Grade A - 89
Grade B - 13
Grade C - 19
Grade D - 129"
66,66,Gadag,Kittur,Haveri,Gadag,Gadag,"Lingayat - 27%
_______________

Lingayat Panchamasali - 15%
Lingayat Reddy Lingayat - 4%
Lingayat Ganiga - 4%
Lingayat Banajiga - 4%",Muslim - 22.01%,"SC - 16.08%
_______________

SC (Lambani) - 5.14%
SC (Left) - 4.23%
SC (Bhovi) - 2.65%
SC (Right) - 1.9%
SC (Others) - 2.16%",Kuruba/ Halumatha - 8.41%,ST Nayaka - 3.87%,HK Patil,INC,GEN,Lingayat - Reddy,Shri Anil P Menasinakai,BJP,GEN,Lingayat - Banajiga,"Total no of Booths - 223
______________
Grade A - 122
Grade B - 12
Grade C - 2
Grade D - 87"
67,67,Ron,Kittur,Haveri,Gadag,Gadag,"Lingayat - 32.41%
_______________

Lingayat Panchamasali - 10%
Lingayat Ganiga - 7.47%
Lingayat Lingavantha - 4.2%
Lingayat Beda Jangama - 3.63%
Lingayat Reddy Lingayat - 2.97%
Lingayat Banajiga - 1.98%
Lingayat Kudu Vokkaliga - 1.35%
Lingayat Veerashaiva - 0.81%",Kuruba/ Halumatha - 23.71%,"SC - 17.61%
_______________

SC (Left) - 8.59%
SC (Lambani) - 6.35%
SC (Bhovi) - 1.62%
SC (Right) - 1.05%",Muslim - 10.6%,ST Nayaka - 7.65%,Gurupadagouda Sanganagouda Patil,INC,GEN,Lingayat - Reddy,Shri Kalakappa Gurushantappa Bandi,BJP,GEN,Lingayat - Panchamasali,"Total no of Booths - 267
______________
Grade A - 118
Grade B - 23
Grade C - 7
Grade D - 119"
68,68,Nargund,Kittur,Bagalkot,Gadag,Gadag,"Lingayat - 39.9%
_______________

Lingayat Panchamasali - 12.90%
Lingayat Ganiga - 7.27%
Lingayat Lingavantha - 5.43%
Lingayat Reddy Lingayat - 5.43%
Lingayat Beda Jangama - 3%
Lingayat Banajiga - 2.67%
Lingayat Sadaru - 1.06%
Lingayat Kudu Vokkaliga - 0.82%
Lingayat Veerashaiva - 0.71%
Lingayat Adi Banajiga - 0.61%",Kuruba/ Halumatha - 19.83%,Muslim - 11.26%,"SC - 10.78%
_______________

SC (Left) - 5.62%
SC (Right) - 3.06%
SC (Lambani) - 1.43%
SC (Bhovi) - 0.67%",ST Nayaka - 6.19%,Shri CC Patil,BJP,GEN,Lingayat - Panchamasali,BR Yavagal,INC,GEN,Reddy,"Total no of Booths - 220
______________
Grade A - 98
Grade B - 19
Grade C - 10
Grade D - 93"
69,69,Navalgund,Kittur,Dharwad,Dharwad,Dharwad Rural,"Lingayat - 35%
_______________

Lingayat Panchamasali - 15%
Lingayat Ganiga - 8%
Lingayat Reddy Lingayat - 6%
Lingayat Jangama - 3%
Lingayat Banajiga - 3%",Kuruba/ Halumatha - 17.32%,Muslim - 16.15%,"SC - 7.44%
_______________

SC (Left) - 3.69%
SC (Right) - 2.31%
SC (Others) - 1.44%",ST Nayaka - 5.23%,Ningaraddi Hanamaraddi Konaraddi,INC,GEN,Lingayat - Reddy,Shri Shankar Basanagouda Patil Munenakoppa,BJP,GEN,Lingayat - Panchamasali,"Total no of Booths - 234
______________
Grade A - 76
Grade B - 17
Grade C - 14
Grade D - 127"
70,70,Kundgol,Kittur,Dharwad,Dharwad,Dharwad Rural,"Lingayat - 33%
_______________

Lingayat Panchamasali - 20%
Lingayat Sadaru - 6%
Lingayat Banajiga - 4%
Lingayat Ganiga - 3%",Muslim - 16.51%,Kuruba/ Halumatha - 12.55%,"SC - 7.43%
_______________

SC (Left) - 3.93%
SC (Right) - 2.21%
SC (Bhovi) - 0.77%
SC (Lambani) - 0.52%",ST Nayaka - 5.8%,Shri MR Patil,BJP,GEN,Lingayat - Sadaru,Kusumavathi Channabasappa Shivalli,INC,OBC,Kuruba / Halumata,"Total no of Booths - 214
______________
Grade A - 99
Grade B - 9
Grade C - 11
Grade D - 95"
71,71,Dharwad,Kittur,Dharwad,Dharwad,Dharwad Rural,"Lingayat - 32%
_______________

Lingayat Panchamasali - 20%
Lingayat Sadaru - 4%
Lingayat Jangama - 3%
Lingayat Banajiga - 3%
Lingayat Ganiga - 2%",Muslim - 22.21%,Maratha - 9.26%,Kuruba/ Halumatha - 7.25%,"SC - 5.05%
_______________

SC (Left) - 3.95%
SC (Right) - 0.57%
SC (Others) - 0.53%",Vinay Kulkarni,INC,GEN,Lingayat - Panchamasali,Shri Amrut Ayyappa Desai,BJP,GEN,Lingayat - Sadaru,"Total no of Booths - 234
______________
Grade A - 154
Grade B - 11
Grade C - 6
Grade D - 63"
72,72,Hubli-Dharwad-East (SC),Kittur,Dharwad,Dharwad,Hubli-Dharwad,Muslim - 47.12%,"SC - 11.17%
_______________

SC (Left) - 6.44%
SC (Right) - 2.51%
SC (Others) - 2.42%","Lingayat - 10%
_______________

Lingayat Panchamasali - 4%
Lingayat Jangama - 4%
Lingayat Banajiga - 2%",Chitrakaara - 4.25%,Christian - 3.92%,Abbayya Prasad,INC,SC,SC - Right,Dr Kranthi Kiran,BJP,SC,SC - Right,"Total no of Booths - 217
______________
Grade A - 85
Grade B - 9
Grade C - 1
Grade D - 122"
73,73,Hubli-Dharwad-Central,Kittur,Dharwad,Dharwad,Hubli-Dharwad,"Lingayat - 22%
_______________

Lingayat Panchamasali - 11%
Lingayat Banajiga - 5%
Lingayat Jangama - 5%
Lingayat Ganiga - 1%",Muslim - 21.15%,Brahmin - 10.51%,"SC - 8.03%
_______________

SC (Left) - 3.13%
SC (Bhovi) - 2.15%
SC (Right) - 2.14%
SC (Others) - 0.61%",Maratha - 4.62%,Shri Mahesh Tenginakai,BJP,GEN,Lingayat - Banajiga,Shri Jagadish Shettar,INC,GEN,Lingayat - Banajiga,"Total no of Booths - 260
______________
Grade A - 198
Grade B - 8
Grade C - 5
Grade D - 49"
74,74,Hubli-Dharwad- West,Kittur,Dharwad,Dharwad,Hubli-Dharwad,Muslim - 25.75%,"Lingayat - 20%
_______________

Lingayat Panchamasali - 10%
Lingayat Jangama - 5%
Lingayat Banajiga - 3%
Lingayat Reddy Lingayat - 1%
Lingayat Ganiga - 1%",Brahmin - 10.8%,"SC - 8.64%
_______________

SC (Left) - 4.51%
SC (Bhovi) - 2.03%
SC (Right) - 1.42%
SC (Lambani) - 0.68%",Maratha - 6.51%,Shri Arvind Bellad,BJP,GEN,Lingayat - Panchamasali,Deepak Chinchore,INC,OBC,Kuruba / Halumata,"Total no of Booths - 273
______________
Grade A - 195
Grade B - 5
Grade C - 5
Grade D - 68"
75,75,Kalghatagi,Kittur,Dharwad,Dharwad,Dharwad Rural,"Lingayat - 30%
_______________

Lingayat Panchamasali - 15%
Lingayat Jangama - 5%
Lingayat Sadaru Lingayat - 5%
Lingayat Ganiga - 5%",Maratha - 18.43%,Muslim - 12.28%,"SC - 9.87%
_______________

SC (Left) - 3.67%
SC (Lambani) - 3.46%
SC (Bhovi) - 2.16%
SC (Right) - 0.58%",ST - 7.3%,Santosh S Lad,INC,OBC,Maratha,Shri Chabbi Nagaraj,BJP,GEN,Lingayat - Ganiga,"Total no of Booths - 228
______________
Grade A - 166
Grade B - 13
Grade C - 4
Grade D - 45"
76,76,Haliyal,Coastal,Uttara Kannada,Uttara Kannada,Uttara Kannada,Maratha - 45.8%,Muslim - 11.4%,"SC - 10.06%
_______________

SC (Others) - 8%
SC (Left) - 1.33%
SC (Right) - 0.73%",Kunbi/ Kudubi - 8.84%,Kuruba/ Halumatha - 6.48%,Deshpande Raghunath,INC,GEN,Brahmin,Shri Sunil Hegade,BJP,GEN,GSB - Brahmin,"Total no of Booths - 215
______________
Grade A - 158
Grade B - 9
Grade C - 2
Grade D - 46"
77,77,Karwar,Coastal,Uttara Kannada,Uttara Kannada,Uttara Kannada,Vokkaliga - 17.45%,Komarpanth - 11.35%,Ediga / Billava / Namdhari Naik - 11.29%,Bestha/ Koli/ Kabbaliga/ Mogaveera - 10.83%,Brahmin - 7.35%,Satish Krishna Sail,INC,OBC,Konkana Maratha,Shri Roopali Santosh Naik,BJP,OBC,Komarpanth,"Total no of Booths - 258
______________
Grade A - 239
Grade B - 6
Grade C - 1
Grade D - 12"
78,78,Kumta,Coastal,Uttara Kannada,Uttara Kannada,Uttara Kannada,Vokkaliga - 23.76%,Ediga / Billava / Namdhari Naik - 17.8%,Brahmin - 13.06%,Bestha/ Koli/ Kabbaliga/ Mogaveera - 11.16%,Muslim - 5.49%,Shri Dinakar Keshav Shetty,BJP,OBC,Ganiga,Shri Suraj Naik Soni,JD(S),GEN,Ediga / Billava / Namdhari Naik,"Total no of Booths - 215
______________
Grade A - 197
Grade B - 2
Grade C - 2
Grade D - 14"
79,79,Bhatkal,Coastal,Uttara Kannada,Uttara Kannada,Uttara Kannada,Ediga / Billava / Namdhari Naik - 22.51%,Muslim - 18.54%,"SC - 8.38%
_______________

SC (Right) - 6.38%
SC (Others) - 2%",Brahmin - 4.4%,Devadiga / Devali - 3.61%,Mankal Vaidya,INC,SC,Moger,Shri Sunil B Naik,BJP,OBC,Namadhari Naik,"Total no of Booths - 248
______________
Grade A - 184
Grade B - 3
Grade C - 2
Grade D - 59"
80,80,Sirsi,Coastal,Uttara Kannada,Uttara Kannada,Uttara Kannada,Brahmin - 26.49%,Ediga / Billava / Namdhari Naik - 24.29%,Vokkaliga - 12.07%,Muslim - 11.39%,"SC - 7.55%
_______________

SC (Others) - 2.92%
SC (Left) - 1.71%
SC (Bhovi) - 1.62%
SC (Right) - 1.3%",Bhimanna T Naik,INC,OBC,Namadhari Naik,Shri Kageri Vishweshwar Hegde,BJP,GEN,Havyaka Brahmin,"Total no of Booths - 266
______________
Grade A - 215
Grade B - 12
Grade C - 4
Grade D - 35"
81,81,Yellapur,Coastal,Uttara Kannada,Uttara Kannada,Uttara Kannada,Muslim - 16.21%,Brahmin - 13.84%,"SC - 11.11%
_______________

SC (Bhovi) - 3.64%
SC (Lambani) - 2.53%
SC (Right) - 2.68%
SC (Left) - 1.58%
SC (Others) - 0.68%",Ediga / Billava / Namdhari Naik - 11.07%,Maratha - 10.05%,Shri Arabail Hebbar Shivaram,BJP,GEN,Brahmin,Andalagi Veerabhadragouda Shivanagoud Patil,INC,GEN,Linagayat - Veerashaiva,"Total no of Booths - 233
______________
Grade A - 157
Grade B - 16
Grade C - 6
Grade D - 54"
82,82,Hangal,Kittur,Haveri,Haveri,Haveri,"Lingayat - 30%
_______________

Lingayat Panchamasali - 25%
Lingayat Sadaru - 5%",Muslim - 22.72%,"SC - 18.33%
_______________

SC (Bhovi) - 6.46%
SC (Lambani) - 3.51%
SC (Left) - 3.34%
SC (Right) - 1.71%
SC (Others) - 3.31%",ST Nayaka - 9.39%,Bestha/ Koli/ Kabbaliga/ Mogaveera - 8.68%,Mane Srinivas,INC,OBC,Maratha,Shri Shivaraj Sajjanar,BJP,GEN,Lingayat - Ganiga,"Total no of Booths - 243
______________
Grade A - 148
Grade B - 10
Grade C - 9
Grade D - 76"
83,83,Shiggaon,Kittur,Dharwad,Haveri,Haveri,Muslim - 38.89%,"Lingayat - 25.04%
_______________

Lingayat Panchamasali - 14.0%
Lingayat Sadaru - 5%
Lingayat Beda Jangama - 2.56%
Lingayat Veerashaiva - 1.66%
Lingayat Banajiga - 1.05%
Lingayat Ganiga - 0.71%","SC - 9.88%
_______________

SC (Left) - 4.8%
SC (Lambani) - 2.06%
SC (Bhovi) - 1.97%
SC (Right) - 0.59%
SC (Others) - 0.46%",Kuruba/ Halumatha - 8.63%,ST Nayaka - 5.23%,Pathan Yasir Ahmad Khan,INC,GEN,Muslim,Shri Bharat Bommai,BJP,GEN,Lingayat - Sadaru,"Total no of Booths - 241
______________
Grade A - 110
Grade B - 18
Grade C - 10
Grade D - 103"
84,84,Haveri (SC),Kittur,Haveri,Haveri,Haveri,"Lingayat - 30%
_______________

Lingayat Panchamasali - 8%
Lingayat Banajiga - 8%
Lingayat Sadaru - 7%
Lingayat Lingavantha - 5%
Lingayat Ganiga - 2%",Muslim - 19.48%,Kuruba/ Halumatha - 15.54%,"SC - 12.92%
_______________

SC (Left) - 6.71%
SC (Lambani) - 3.77%
SC (Bhovi) - 1.66%
SC (Others) - 0.78%",ST Nayaka - 9.03%,Rudrappa Manappa Lamani,INC,SC,Lambani,Shri Gavisiddappa Dyamannavar,BJP,SC,SC - Left,"Total no of Booths - 261
______________
Grade A - 125
Grade B - 19
Grade C - 12
Grade D - 105"
85,85,Byadgi,Kittur,Haveri,Haveri,Haveri,"Lingayat - 35%
_______________

Lingayat Panchamasali - 20%
Lingayat Sadaru - 10%
Lingayat Nonaba - 5%",Muslim - 18.02%,Kuruba/ Halumatha - 13.39%,"SC - 12.04%
_______________

SC (Left) - 4.44%
SC (Right) - 2%
SC (Lambani) - 4.2%
SC (Bhovi) - 1.4%",ST Nayaka - 11.96%,Basavaraj Neelappa Shivannanavar,INC,OBC,Kuruba / Halumata,Shri Ballari Virupakshappa Rudrappa,BJP,GEN,Lingayat - Panchamasali,"Total no of Booths - 242
______________
Grade A - 134
Grade B - 15
Grade C - 6
Grade D - 87"
86,86,Hirekerur,Kittur,Haveri,Haveri,Haveri,"Lingayat - 41%
_______________

Lingayat Sadaru - 27%
Lingayat Panchamasali - 10%
Lingayat Banajiga - 4%",Muslim - 15.91%,"SC - 12.88%
_______________

SC (Left) - 5%
SC (Right) - 2.17%
SC (Lambani) - 3.04%
SC (Bhovi) - 2.67%",ST Nayaka - 12.57%,Kuruba/ Halumatha - 7.43%,Ujaneshwar Basavannappa Banakar,INC,GEN,Lingayat - Sadaru,Shri Basavanagouda Patil,BJP,GEN,Lingayat - Sadaru,"Total no of Booths - 229
______________
Grade A - 140
Grade B - 12
Grade C - 5
Grade D - 72"
87,87,Ranibennur,Kittur,Haveri,Haveri,Haveri,"Lingayat - 28%
_______________

Lingayat Panchamasali - 11%
Lingayat Sadaru - 9%
Lingayat Reddy Lingayat - 5%
Lingayat Veerashaiva - 3%",Muslim - 19.33%,Kuruba/ Halumatha - 13.98%,"SC - 10.81%
_______________

SC (Left) - 5.13%
SC (Lambani) - 4.32%
SC (Right) - 0.89%
SC (Bhovi) - 0.47%",ST Nayaka - 7.17%,Prakash Koliwad,INC,GEN,Lingayat - Reddy,Shri Arunkumar Guttur,BJP,GEN,Lingayat - Panchamasali,"Total no of Booths - 266
______________
Grade A - 139
Grade B - 14
Grade C - 5
Grade D - 108"
88,88,Hadagalli (SC),Kalyan,Ballari,Vijayanagara,Vijayanagar,"SC - 26.43%
_______________

SC (Lambani) - 13.56%
SC (Left) - 9.83%
SC (Bhovi) - 1.71%
SC (Right) - 0.83%
SC (Others) - 0.5%","Lingayat - 22%
_______________

Lingayat Panchamasali - 15%
Lingayat Jangama - 3%
Lingayat Ganiga - 2%
Lingayat Banajiga - 1%
Lingayat Kudu Vokkaliga - 1%",Kuruba/ Halumatha - 19%,ST Nayaka - 8.86%,Muslim - 8.43%,Shri Krishna Nayaka,BJP,SC,Lambani,PT Parameshwara Naik,INC,SC,Lambani,"Total no of Booths - 218
______________
Grade A - 92
Grade B - 16
Grade C - 6
Grade D - 104"
89,89,Hagaribommanahalli (SC),Kalyan,Ballari,Vijayanagara,Vijayanagar,"SC - 27.65%
_______________

SC (Lambani) - 12.63%
SC (Left) - 10.36%
SC (Bhovi) - 2.62%
SC (Right) - 0.78%
SC (Others) - 1.26%",ST Nayaka - 18.03%,"Lingayat - 17%
_______________

Lingayat Panchamasali - 9%
Lingayat Jangama - 4%
Lingayat Veerashaiva - 3%
Lingayat Ganiga - 0.50%
Lingayat Sadaru - 0.50%",Kuruba/ Halumatha - 13.06%,Muslim - 8.68%,Shri Nemarajanaik K,JD(S),SC,Lambani,LBP Bheema Naik,INC,SC,Lambani,"Total no of Booths - 254
______________
Grade A - 96
Grade B - 12
Grade C - 13
Grade D - 133"
90,90,Vijayanagara,Kalyan,Ballari,Vijayanagara,Vijayanagar,"SC - 23.32%
_______________

SC (Left) - 12.49%
SC (Bhovi) - 4.21%
SC (Lambani) - 3.43%
SC (Right) - 3.19%",Muslim - 22.45%,ST Nayaka - 19.46%,Kuruba/ Halumatha - 8.87%,"Lingayat - 6.74%
_______________

Lingayat Veerashaiva - 4.35%
Lingayat Panchamasali - 1.04%
Lingayat Beda Jangama - 0.89%
Lingayat Ganiga - 0.46%",HR Gaviyappa,INC,OBC,Ediga / Billava / Namdhari Naik,Shri Siddharth Singh A Thakur,BJP,GEN,Rajput,"Total no of Booths - 259
______________
Grade A - 122
Grade B - 15
Grade C - 7
Grade D - 115"
91,91,Kampli (ST),Kalyan,Ballari,Ballari,Ballari,"SC - 22.05%
_______________

SC (Left) - 12.67%
SC (Right) - 5.06%
SC (Bhovi) - 2.84%
SC (Lambani) - 1.48%",ST Nayaka - 21.32%,Kuruba/ Halumatha - 14.47%,Muslim - 10.48%,"Lingayat - 9.52%
_______________

Lingayat Veerashaiva - 3.87%
Lingayat Beda Jangama - 1.88%
Lingayat General - 1.6%
Lingayat Panchamasali - 1.59%
Lingayat Banajiga - 1.23%
Lingayat Lalagonda - 0.95%",JN Ganesh,INC,ST,Nayaka,Shri TH Suresh Babu,BJP,ST,Nayaka,"Total no of Booths - 242
______________
Grade A - 92
Grade B - 13
Grade C - 12
Grade D - 125"
92,92,Siruguppa (ST),Kalyan,Koppal,Ballari,Ballari,ST Nayaka - 21.45%,"SC - 20.88%
_______________

SC (Left) - 11.95%
SC (Right) - 5.12%
SC (Bhovi) - 3.17%
SC (Lambani) - 0.64%",Kuruba/ Halumatha - 15.47%,Muslim - 13.54%,"Lingayat - 9.95%
_______________

Lingayat Lalagonda - 2.75%
Lingayat Veerashaiva - 2.87%
Lingayat Banajiga - 1.92%
Lingayat Beda Jangama - 1.46%
Lingayat Ganiga - 0.95%",BM Nagaraja,INC,ST,Nayaka,Shri MS Somalingappa,BJP,ST,Nayaka,"Total no of Booths - 228
______________
Grade A - 69
Grade B - 19
Grade C - 7
Grade D - 133"
93,93,Bellary Rural (ST),Kalyan,Ballari,Ballari,Ballari,ST Nayaka - 21.79%,"SC - 20.48%
_______________

SC (Left) - 11.29%
SC (Right) - 3.99%
SC (Bhovi) - 2.49%
SC (Lambani) - 2.19%
SC (Others) - 0.52%",Muslim - 19%,Kuruba/ Halumatha - 12.02%,"Lingayat - 8.35%
_______________

Lingayat Veerashaiva - 3.80%
Lingayat Lalagonda - 1.66%
Lingayat Banajiga - 0.98%
Lingayat Beda Jangama - 0.98%
Lingayat Reddy Lingayat - 0.47%
Lingayat Ganiga - 0.46%",B Nagendra,INC,ST,Nayaka,Shri B Sreeramulu,BJP,ST,Nayaka,"Total no of Booths - 235
______________
Grade A - 76
Grade B - 13
Grade C - 9
Grade D - 137"
94,94,Bellary City,Kalyan,Ballari,Ballari,Ballari,Muslim - 27.62%,ST Nayaka - 13.3%,"SC - 13.08%
_______________

SC (Left) - 6.81%
SC (Right) - 4.31%
SC (Others) - 2.00%","Lingayat - 6.72%
_______________

Lingayat Veerashaiva - 4.43%
Lingayat Beda Jangama - 1.35%
Lingayat Banajiga - 0.94%",Kuruba/ Halumatha - 6.58%,Nara Bharath Reddy,INC,OBC,Reddy,Gali Lakshmi Aruna,KRPP,GEN,Reddy,"Total no of Booths - 261
______________
Grade A - 110
Grade B - 13
Grade C - 8
Grade D - 130"
95,95,Sandur (ST),Kalyan,Ballari,Ballari,Ballari,ST Nayaka - 31.17%,"SC - 17.04%
_______________

SC (Left) - 8.18%
SC (Bhovi) - 3.38%
SC (Right) - 2.81%
SC (Lambani) - 2.67%","Lingayat - 12.17%
_______________

Lingayat Panchamasali - 3.98%
Lingayat Veerashaiva - 5.34%
Lingayat Beda Jangama - 1.45%
Lingayat Ganiga - 1.4%",Muslim - 11.64%,Kuruba/ Halumatha - 8.67%,Smt Amnnapoorneswari Thukaram,INC,ST,Nayaka,Shri Banagaru Hanumanthu,BJP,ST,Nayaka,"Total no of Booths - 253
______________
Grade A - 64
Grade B - 18
Grade C - 16
Grade D - 155"
96,96,Kudligi (ST),Kalyan,Ballari,Vijayanagara,Vijayanagar,ST Nayaka - 35.29%,"SC - 20.21%
_______________

SC (Left) - 10.1%
SC (Lambani) - 4.78%
SC (Bhovi) - 3.1%
SC (Right) - 1.71%
SC (Others) - 0.52%","Lingayat - 18.96%
_______________

Lingayat Panchamasali - 10.29%
Lingayat Veerashaiva - 3.18%
Lingayat Ganiga - 2.5%
Lingayat Beda Jangama - 2.09%
Lingayat Kudu Vokkaliga - 0.9%",Yadava/ Golla/ Hanabar - 9.36%,Kuruba/ Halumatha - 5.03%,Srinivas NT,INC,ST,Nayaka,Shri Lokesh V Nayaka,BJP,ST,Nayaka,"Total no of Booths - 250
______________
Grade A - 102
Grade B - 15
Grade C - 12
Grade D - 121"
97,97,Molakalmuru (ST),Central,Chitradurga,Chitradurga,Chitradurga,ST Nayaka - 41.94%,"SC - 21.98%
_______________

SC (Left) - 15.62%
SC (Lambani) - 2.3%
SC (Bhovi) - 2.03%
SC (Right) - 2.03%",Yadava/ Golla/ Hanabar - 9.23%,Kuruba/ Halumatha - 6.85%,Lingayat - 5.98%,NY Gopalakrishna,INC,ST,Nayaka,Shri S Thippeswamy,BJP,ST,Nayaka,"Total no of Booths - 285
______________
Grade A - 60
Grade B - 14
Grade C - 16
Grade D - 195"
98,98,Challakere (ST),Central,Chitradurga,Chitradurga,Chitradurga,ST Nayaka - 26.22%,"SC - 25.62%
_______________

SC (Left) - 15.17%
SC (Right) - 4.36%
SC (Bhovi) - 3.84%
SC (Lambani) - 2.25%",Yadava/ Golla/ Hanabar - 12.56%,Lingayat - 6.94%,Kuruba/ Halumatha - 6.06%,T Raghumurthy,INC,ST,Nayaka,Shri Ravish Kumar M,JD(S),ST,Nayaka,"Total no of Booths - 260
______________
Grade A - 109
Grade B - 25
Grade C - 16
Grade D - 110"
